date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:55:42	156593/156593	---M-Z	200	added ('OK')	text/html	etag:W/%22f8642c1b957f9a7b2bc733cd3aaa0578--gzip%22	https://drum-nonagon-rhas.squarespace.com/	E:/Sito/aboutusbythomasgiustinisnapshot2/drum-nonagon-rhas.squarespace.com/index.html	(from )
20:55:42	389/389	---M-Z	200	added ('OK')	text/plain	date:Wed,%2029%20Jan%202025%2019:55:41%20GMT	https://drum-nonagon-rhas.squarespace.com/robots.txt		(from )
20:55:43	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Wed,%2029%20Jan%202025%2019:55:42%20GMT	http://static1.squarespace.com/static/601ac3d2c234584dde75194d/t/6044d5346e757e4500858bec/1615123774305/aboutusbythomasgiustiniweblogoblack.png?format=1500w	E:/Sito/aboutusbythomasgiustinisnapshot2/static1.squarespace.com/static/601ac3d2c234584dde75194d/t/6044d5346e757e4500858bec/1615123774305/aboutusbythomasgiustiniweblogoblack.026f7.delayed	(from https://drum-nonagon-rhas.squarespace.com/)
20:55:45	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	E:/Sito/aboutusbythomasgiustinisnapshot2/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://drum-nonagon-rhas.squarespace.com/)
20:55:45	18416/18416	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2029%20Jan%202025%2019:55:43%20GMT	http://use.typekit.net/ik/_1jsiVVbldVE8VCz89v-d9MwOpQ72VWwvreBZ4IOgyJfeTwIfFHN4UJLFRbh52jhWDj3wABRwhbkjDJDF29tFesqZQSuwQqXZgnnMKG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0ZY4udPu0dhoyZhN0OW4GjWw0SaBujW48Sagyjh90jhNlOfG0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPUyjamTiY8Djhy8ZYmC-Ao1OcFzdPUyjamTiY8Djhy8ZYmC-Ao1Oco8ifUySkolZPUqS1mlOAozdcB1dhtlScyySkoDSWmyScmDSeBRZPoRdhXCdeNRjAUGdaFXOYFUiABkZWF3jAF8ShFGZAsude80ZkoRdhXCiaiaOcBRiA8XpWFR-emqiAUTdcS0jhNlOYiaikoyjamTiY8Djhy8ZYmC-Ao1Oco8ifUaiaS0jWw0dA9CiaiaOcskiAXldcN0jAizdKuk-eBDO1FUiABkZWF3jAF8OcFzdPUaiaS0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPJVde8KZW4yie8zdKuDjAoDJ6uy-asTiKu1ScNXZWFnJ6oCiewljcNqdhoTOQIaFPGJfgvbMg6IJMJ7fM6SIMMjgkMfH66JYyMMeMt6MKGJfgXbMg6sJMJ7fbR9dsMgeMw6MKG4fVvnIMJjgfMfH6qJxKCbMy65JMHbMpxoGT6e.js	E:/Sito/aboutusbythomasgiustinisnapshot2/use.typekit.net/ik/_1jsiVVbldVE8VCz89v-d9MwOpQ72VWwvreBZ4IOgyJfeTwIfFHN4UJLFRbh52jhWDj3wABRwhbkjDJDF29tFesqZQSuwQqXZgnnMKG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0	(from https://drum-nonagon-rhas.squarespace.com/)
20:55:47	30167/30167	---M--	200	added ('OK')	image/png	etag:CPWhmvaknu8CEAE=	https://images.squarespace-cdn.com/content/601ac3d2c234584dde75194d/1615123769516-8757BY27KIWVQ3444PTL/aboutusbythomasgiustiniweblogoblack.png?format=1500w&content-type=image%2Fpng	E:/Sito/aboutusbythomasgiustinisnapshot2/images.squarespace-cdn.com/content/601ac3d2c234584dde75194d/1615123769516-8757BY27KIWVQ3444PTL/aboutusbythomasgiustiniweblogoblack2acd.png	(from https://drum-nonagon-rhas.squarespace.com/)
20:55:48	45944/45944	---M-Z	200	added ('OK')	text/javascript	etag:%22a2d888c1018c58be073018b6f58e9f00%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-ce8fe307682f457f4fb9-min.it-IT.js	E:/Sito/aboutusbythomasgiustinisnapshot2/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-ce8fe307682f457f4fb9-min.it-IT.js	(from https://drum-nonagon-rhas.squarespace.com/)
20:55:50	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	E:/Sito/aboutusbythomasgiustinisnapshot2/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://drum-nonagon-rhas.squarespace.com/)
20:55:52	147548/147548	---M-Z	200	added ('OK')	text/javascript	etag:%22b0985ee64e0cab01221eae2ebbd00ee2%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-c5ce834c47106f111c14-min.it-IT.js	E:/Sito/aboutusbythomasgiustinisnapshot2/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-c5ce834c47106f111c14-min.it-IT.js	(from https://drum-nonagon-rhas.squarespace.com/)
20:55:55	850519/850519	---M-Z	200	added ('OK')	text/javascript	etag:%22f1d775b55b7e097eafe97124b1d03735%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-e06ebf2781670b76c4d6-min.it-IT.js	E:/Sito/aboutusbythomasgiustinisnapshot2/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-e06ebf2781670b76c4d6-min.it-IT.js	(from https://drum-nonagon-rhas.squarespace.com/)
20:56:01	245728/245728	---M-Z	200	added ('OK')	text/javascript	etag:%227ee1a70f2255286206988ce976f76fcf%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-4edd4764f93221cbddfc-min.it-IT.js	E:/Sito/aboutusbythomasgiustinisnapshot2/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-4edd4764f93221cbddfc-min.it-IT.js	(from https://drum-nonagon-rhas.squarespace.com/)
20:56:02	32461/32461	---M-Z	200	added ('OK')	text/css	etag:%223522a8095e681c22a50b5647a4d4a5a7%22	http://assets.squarespace.com/universal/styles-compressed/commerce-4edea0c87d999fb19498-min.it-IT.css	E:/Sito/aboutusbythomasgiustinisnapshot2/assets.squarespace.com/universal/styles-compressed/commerce-4edea0c87d999fb19498-min.it-IT.css	(from https://drum-nonagon-rhas.squarespace.com/)
20:56:04	39521/39521	---M-Z	200	added ('OK')	text/javascript	etag:%229311433ca95ae420b40144c6243ed26c%22	http://assets.squarespace.com/universal/scripts-compressed/performance-1484c0572f70312644e5-min.it-IT.js	E:/Sito/aboutusbythomasgiustinisnapshot2/assets.squarespace.com/universal/scripts-compressed/performance-1484c0572f70312644e5-min.it-IT.js	(from https://drum-nonagon-rhas.squarespace.com/)
20:56:11	1441202/1441202	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202025%2019:56:04%20GMT	https://static1.squarespace.com/static/versioned-site-css/601ac3d2c234584dde75194d/209/5c5a519771c10ba3470d8101/601ac3d2c234584dde751967/1607/site.css	E:/Sito/aboutusbythomasgiustinisnapshot2/static1.squarespace.com/static/versioned-site-css/601ac3d2c234584dde75194d/209/5c5a519771c10ba3470d8101/601ac3d2c234584dde751967/1607/site.css	(from https://drum-nonagon-rhas.squarespace.com/)
20:56:12	70523/70523	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-1137b%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.11.2/css/all.css	E:/Sito/aboutusbythomasgiustinisnapshot2/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.11.2/css/all.css	(from https://drum-nonagon-rhas.squarespace.com/)
20:56:14	37503/37503	---MCZ	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202024%2007:05:12%20GMT	https://ninjakit-assets.ixstudio.net/assets/admin/css/ninja-sqs.css	E:/Sito/aboutusbythomasgiustinisnapshot2/ninjakit-assets.ixstudio.net/assets/admin/css/ninja-sqs.css	(from https://drum-nonagon-rhas.squarespace.com/)
20:56:20	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	E:/Sito/aboutusbythomasgiustinisnapshot2/code.jquery.com/jquery-3.4.1.min.js	(from https://drum-nonagon-rhas.squarespace.com/)
20:56:23	308472/308472	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202025%2019:56:20%20GMT	https://static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/versioned-assets/1738173351596-3CBVET3968X52MOL3HSY/static.css	E:/Sito/aboutusbythomasgiustinisnapshot2/static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/versioned-assets/1738173351596-3CBVET3968X52MOL3HSY/static.css	(from https://drum-nonagon-rhas.squarespace.com/)
20:56:26	641171/641171	---M-Z	200	added ('OK')	text/javascript	etag:%229bd178dacf440d6e4192f1a9b626ff74%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-53f8adf3f707742e8933-min.it-IT.js	E:/Sito/aboutusbythomasgiustinisnapshot2/assets.squarespace.com/universal/scripts-compressed/common-vendors-53f8adf3f707742e8933-min.it-IT.js	(from https://drum-nonagon-rhas.squarespace.com/)
20:56:26	87759/87759	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2019:56:23%20GMT	https://drum-nonagon-rhas.squarespace.com/cart	E:/Sito/aboutusbythomasgiustinisnapshot2/drum-nonagon-rhas.squarespace.com/cart.html	(from https://drum-nonagon-rhas.squarespace.com/)
20:56:40	319507/319507	---MC-	401	error ('Unauthorized')	text/html	etag:W/%22937e14aa6087e69f6626fb225e4a1589%22	https://drum-nonagon-rhas.squarespace.com/shop	E:/Sito/aboutusbythomasgiustinisnapshot2/drum-nonagon-rhas.squarespace.com/shop.15.delayed	(from https://drum-nonagon-rhas.squarespace.com/)
20:56:40	30167/30167	---M--	200	added ('OK')	image/png	etag:CPWhmvaknu8CEAE=	http://images.squarespace-cdn.com/content/v1/601ac3d2c234584dde75194d/1615123769516-8757BY27KIWVQ3444PTL/aboutusbythomasgiustiniweblogoblack.png?format=1500w	E:/Sito/aboutusbythomasgiustinisnapshot2/images.squarespace-cdn.com/content/v1/601ac3d2c234584dde75194d/1615123769516-8757BY27KIWVQ3444PTL/aboutusbythomasgiustiniweblogoblack26f7.png	(from https://drum-nonagon-rhas.squarespace.com/)
